Order ID,Unit Price,Production Charges,Amount,Profit,Profit Percentage,Profit and Loss,Quantity,Product Standard,Category,Sub-Category,PaymentMode
B-25830,651.33,1172,1954,782,40.02%,Profit,3,Mid Cost Product,Electronics,Phones,Credit Card
B-25842,192.88,1173,1543,370,23.98%,Profit,8,Low Cost Product,Electronics,Printers,Credit Card
B-25778,251,1772,1506,-266,-17.66%,Loss,6,Low Cost Product,Electronics,Printers,Credit Card
B-25686,304.83,1885,1829,-56,-3.06%,Loss,6,Low Cost Product,Furniture,Tables,Credit Card
B-25754,3,10,9,-1,-11.11%,Loss,3,Low Cost Product,Clothing,Skirt,UPI
B-26048,292.2,1259,1461,202,13.83%,Profit,5,Low Cost Product,Furniture,Tables,EMI
B-25816,48.88,278,391,113,28.90%,Profit,8,Low Cost Product,Clothing,Stole,COD
B-26022,228,521,1824,1303,71.44%,Profit,8,Low Cost Product,Electronics,Phones,Credit Card
B-25883,4,31,16,-15,-93.75%,Loss,4,Low Cost Product,Clothing,Hankerchief,UPI
B-26003,872.5,1623,1745,122,6.99%,Profit,2,High Cost Product,Furniture,Tables,Credit Card
B-26097,132.6,875,663,-212,-31.98%,Loss,5,Low Cost Product,Electronics,Printers,UPI
B-25710,10,11,10,-1,-10.00%,Loss,1,Low Cost Product,Clothing,Leggings,UPI
B-25797,326,828,1630,802,49.20%,Profit,5,Low Cost Product,Furniture,Tables,EMI
B-25618,6,12,12,0,0.00%,Breakeven Point,2,Low Cost Product,Clothing,Hankerchief,UPI
B-25723,6,19,12,-7,-58.33%,Loss,2,Low Cost Product,Clothing,Leggings,UPI
B-25755,569.67,1145,1709,564,33.00%,Profit,3,Mid Cost Product,Clothing,Trousers,Credit Card
B-25788,12,9,12,3,25.00%,Profit,1,Low Cost Product,Clothing,Stole,UPI
B-25681,541.67,1702,1625,-77,-4.74%,Loss,3,Mid Cost Product,Electronics,Phones,EMI
B-25991,6.5,8,13,5,38.46%,Profit,2,Low Cost Product,Clothing,Hankerchief,UPI
B-25779,453.67,381,1361,980,72.01%,Profit,3,Mid Cost Product,Furniture,Tables,COD
B-25909,540.67,2070,1622,-448,-27.62%,Loss,3,Mid Cost Product,Electronics,Phones,EMI
B-25943,257.83,1207,1547,340,21.98%,Profit,6,Low Cost Product,Electronics,Accessories,EMI
B-25935,414.25,1197,1657,460,27.76%,Profit,4,Mid Cost Product,Furniture,Chairs,Credit Card
B-25613,178.11,1603,1603,0,0.00%,Breakeven Point,9,Low Cost Product,Clothing,Saree,Credit Card
B-25729,387.25,1988,1549,-439,-28.34%,Loss,4,Mid Cost Product,Electronics,Phones,Credit Card
B-25772,295.75,1077,1183,106,8.96%,Profit,4,Low Cost Product,Electronics,Printers,EMI
B-25655,9.25,197,74,-123,-166.22%,Loss,8,Low Cost Product,Clothing,Skirt,UPI
B-25640,115.31,1260,1499,239,15.94%,Profit,13,Low Cost Product,Clothing,Saree,Credit Card
B-25810,186.67,921,1120,199,17.77%,Profit,6,Low Cost Product,Clothing,Saree,EMI
B-25801,15,17,15,-2,-13.33%,Loss,1,Low Cost Product,Clothing,T-shirt,Debit Card
B-26085,495.67,863,1487,624,41.96%,Profit,3,Mid Cost Product,Clothing,Trousers,Credit Card
B-25868,559,912,1118,206,18.43%,Profit,2,Mid Cost Product,Furniture,Tables,Credit Card
B-25714,5.5,16,11,-5,-45.45%,Loss,2,Low Cost Product,Clothing,Hankerchief,COD
B-25784,15,11,15,4,26.67%,Profit,1,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25608,272.8,-500,1364,1864,136.66%,Profit,5,Low Cost Product,Furniture,Tables,Credit Card
B-26051,191,1190,1337,147,10.99%,Profit,7,Low Cost Product,Electronics,Printers,Credit Card
B-25900,15,13,15,2,13.33%,Profit,1,Low Cost Product,Clothing,Leggings,Debit Card
B-25760,64.4,515,322,-193,-59.94%,Loss,5,Low Cost Product,Electronics,Printers,UPI
B-25762,188,789,1316,527,40.05%,Profit,7,Low Cost Product,Electronics,Electronic Games,Credit Card
B-25995,438,972,1314,342,26.03%,Profit,3,Mid Cost Product,Furniture,Bookcases,Credit Card
B-25965,5.67,10,17,7,41.18%,Profit,3,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25967,8.5,15,17,2,11.76%,Profit,2,Low Cost Product,Clothing,Skirt,Debit Card
B-25674,3.4,29,17,-12,-70.59%,Loss,5,Low Cost Product,Clothing,Skirt,Debit Card
B-25929,436,772,1308,536,40.98%,Profit,3,Mid Cost Product,Furniture,Bookcases,Credit Card
B-25777,269,1114,1076,-38,-3.53%,Loss,4,Low Cost Product,Electronics,Printers,Credit Card
B-26006,260.2,728,1301,573,44.04%,Profit,5,Low Cost Product,Electronics,Accessories,Credit Card
B-25697,162.5,1316,1300,-16,-1.23%,Loss,8,Low Cost Product,Electronics,Printers,Credit Card
B-25667,2.75,13,11,-2,-18.18%,Loss,4,Low Cost Product,Clothing,Hankerchief,COD
B-25836,144.22,1233,1298,65,5.01%,Profit,9,Low Cost Product,Electronics,Printers,EMI
B-25984,50.67,207,304,97,31.91%,Profit,6,Low Cost Product,Clothing,Stole,UPI
B-25728,263.75,791,1055,264,25.02%,Profit,4,Low Cost Product,Electronics,Printers,EMI
B-25757,4.25,30,17,-13,-76.47%,Loss,4,Low Cost Product,Clothing,Skirt,Debit Card
B-25957,49,74,147,73,49.66%,Profit,3,Low Cost Product,Clothing,Stole,COD
B-26061,321.67,1033,965,-68,-7.05%,Loss,3,Low Cost Product,Electronics,Printers,COD
B-25735,4,14,12,-2,-16.67%,Loss,3,Low Cost Product,Clothing,Hankerchief,COD
B-25616,4.67,16,14,-2,-14.29%,Loss,3,Low Cost Product,Clothing,Hankerchief,UPI
B-25666,133.43,1850,934,-916,-98.07%,Loss,7,Low Cost Product,Electronics,Electronic Games,COD
B-25675,103.22,1022,929,-93,-10.01%,Loss,9,Low Cost Product,Clothing,Saree,COD
B-26079,9,15,18,3,16.67%,Profit,2,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25850,83.27,724,916,192,20.96%,Profit,11,Low Cost Product,Electronics,Phones,COD
B-25693,8.44,148,76,-72,-94.74%,Loss,9,Low Cost Product,Clothing,Hankerchief,COD
B-25852,217.25,802,869,67,7.71%,Profit,4,Low Cost Product,Furniture,Tables,COD
B-25860,37.33,88,112,24,21.43%,Profit,3,Low Cost Product,Clothing,Kurti,COD
B-25853,6.5,23,39,16,41.03%,Profit,6,Low Cost Product,Clothing,Skirt,UPI
B-25898,428.5,1131,857,-274,-31.97%,Loss,2,Mid Cost Product,Furniture,Tables,COD
B-26100,414,598,828,230,27.78%,Profit,2,Mid Cost Product,Furniture,Chairs,COD
B-25653,159.88,1919,1279,-640,-50.04%,Loss,8,Low Cost Product,Electronics,Printers,EMI
B-25839,178.57,764,1250,486,38.88%,Profit,7,Low Cost Product,Clothing,Saree,EMI
B-25651,117.57,841,823,-18,-2.19%,Loss,7,Low Cost Product,Furniture,Chairs,COD
B-25957,128.56,1170,1157,-13,-1.12%,Loss,9,Low Cost Product,Furniture,Bookcases,Credit Card
B-25704,42,189,126,-63,-50.00%,Loss,3,Low Cost Product,Electronics,Accessories,UPI
B-25730,381.67,1851,1145,-706,-61.66%,Loss,3,Mid Cost Product,Electronics,Phones,Credit Card
B-26052,258,604,774,170,21.96%,Profit,3,Low Cost Product,Electronics,Accessories,COD
B-25656,12,25,24,-1,-4.17%,Loss,2,Low Cost Product,Clothing,Hankerchief,COD
B-26033,258,604,774,170,21.96%,Profit,3,Low Cost Product,Electronics,Accessories,COD
B-25850,46.5,94,93,-1,-1.08%,Loss,2,Low Cost Product,Clothing,Hankerchief,COD
B-25945,255,801,765,-36,-4.71%,Loss,3,Low Cost Product,Electronics,Electronic Games,COD
B-26086,127,661,762,101,13.25%,Profit,6,Low Cost Product,Electronics,Printers,COD
B-25752,84.56,495,761,266,34.95%,Profit,9,Low Cost Product,Electronics,Electronic Games,COD
B-26098,19.2,144,96,-48,-50.00%,Loss,5,Low Cost Product,Clothing,Leggings,UPI
B-26067,162.43,1151,1137,-14,-1.23%,Loss,7,Low Cost Product,Electronics,Printers,EMI
B-25730,9,10,18,8,44.44%,Profit,2,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25986,107,1056,749,-307,-40.99%,Loss,7,Low Cost Product,Furniture,Furnishings,COD
B-26067,186.67,921,1120,199,17.77%,Profit,6,Low Cost Product,Clothing,Saree,EMI
B-25953,124,625,744,119,15.99%,Profit,6,Low Cost Product,Electronics,Printers,COD
B-25952,3.5,14,14,0,0.00%,Breakeven Point,4,Low Cost Product,Clothing,Hankerchief,UPI
B-25903,9.5,11,19,8,42.11%,Profit,2,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25650,102.4,737,512,-225,-43.95%,Loss,5,Low Cost Product,Clothing,Saree,COD
B-25970,371,544,742,198,26.68%,Profit,2,Mid Cost Product,Furniture,Bookcases,COD
B-26062,14.67,84,44,-40,-90.91%,Loss,3,Low Cost Product,Clothing,Stole,COD
B-25643,132.63,1097,1061,-36,-3.39%,Loss,8,Low Cost Product,Furniture,Bookcases,EMI
B-25632,9.5,21,19,-2,-10.53%,Loss,2,Low Cost Product,Clothing,Leggings,Debit Card
B-25821,17,17,17,0,0.00%,Breakeven Point,1,Low Cost Product,Clothing,Hankerchief,COD
B-25878,148.2,474,741,267,36.03%,Profit,5,Low Cost Product,Furniture,Bookcases,COD
B-25752,122.5,970,735,-235,-31.97%,Loss,6,Low Cost Product,Electronics,Printers,COD
B-25750,19,20,19,-1,-5.26%,Loss,1,Low Cost Product,Clothing,Shirt,Debit Card
B-25657,255.25,1069,1021,-48,-4.70%,Loss,4,Low Cost Product,Electronics,Electronic Games,EMI
B-25787,79.43,765,556,-209,-37.59%,Loss,7,Low Cost Product,Clothing,Saree,COD
B-25808,10.5,80,63,-17,-26.98%,Loss,6,Low Cost Product,Clothing,Leggings,COD
B-25885,367,486,734,248,33.79%,Profit,2,Mid Cost Product,Furniture,Chairs,COD
B-25778,186.6,767,933,166,17.79%,Profit,5,Low Cost Product,Clothing,Saree,Credit Card
B-25759,3.33,29,20,-9,-45.00%,Loss,6,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25747,438.5,482,877,395,45.04%,Profit,2,Mid Cost Product,Furniture,Bookcases,Credit Card
B-25878,119.83,416,719,303,42.14%,Profit,6,Low Cost Product,Furniture,Chairs,COD
B-25603,6,11,12,1,8.33%,Profit,2,Low Cost Product,Clothing,Hankerchief,COD
B-25691,178.5,658,714,56,7.84%,Profit,4,Low Cost Product,Clothing,Saree,COD
B-25607,12.5,65,50,-15,-30.00%,Loss,4,Low Cost Product,Clothing,Leggings,COD
B-25708,141.8,809,709,-100,-14.10%,Loss,5,Low Cost Product,Electronics,Phones,COD
B-26021,7,33,21,-12,-57.14%,Loss,3,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25831,115.5,439,693,254,36.65%,Profit,6,Low Cost Product,Clothing,Saree,COD
B-25850,6,23,24,1,4.17%,Profit,4,Low Cost Product,Clothing,Hankerchief,COD
B-25670,12,23,24,1,4.17%,Profit,2,Low Cost Product,Clothing,Hankerchief,UPI
B-25852,12,23,24,1,4.17%,Profit,2,Low Cost Product,Clothing,Hankerchief,COD
B-26029,21,11,21,10,47.62%,Profit,1,Low Cost Product,Clothing,T-shirt,Debit Card
B-25959,170.25,422,681,259,38.03%,Profit,4,Low Cost Product,Furniture,Chairs,COD
B-25676,337,861,674,-187,-27.74%,Loss,2,Mid Cost Product,Furniture,Tables,COD
B-26097,134.2,980,671,-309,-46.05%,Loss,5,Low Cost Product,Electronics,Electronic Games,COD
B-25888,215.33,859,646,-213,-32.97%,Loss,3,Low Cost Product,Electronics,Electronic Games,COD
B-25911,40,25,40,15,37.50%,Profit,1,Low Cost Product,Clothing,Kurti,COD
B-25662,12,26,24,-2,-8.33%,Loss,2,Low Cost Product,Clothing,T-shirt,COD
B-25950,322,477,644,167,25.93%,Profit,2,Low Cost Product,Electronics,Printers,COD
B-25847,321.5,418,643,225,34.99%,Profit,2,Low Cost Product,Electronics,Printers,COD
B-25796,105.33,948,632,-316,-50.00%,Loss,6,Low Cost Product,Clothing,Saree,COD
B-25693,105.33,316,632,316,50.00%,Profit,6,Low Cost Product,Clothing,Saree,COD
B-25993,203.33,402,610,208,34.10%,Profit,3,Low Cost Product,Electronics,Printers,COD
B-26052,13,106,78,-28,-35.90%,Loss,6,Low Cost Product,Clothing,Kurti,UPI
B-25930,148.75,476,595,119,20.00%,Profit,4,Low Cost Product,Furniture,Bookcases,COD
B-25785,198.33,303,595,292,49.08%,Profit,3,Low Cost Product,Clothing,Saree,COD
B-26093,170.4,801,852,51,5.99%,Profit,5,Low Cost Product,Furniture,Bookcases,Credit Card
B-26053,198,505,594,89,14.98%,Profit,3,Low Cost Product,Furniture,Bookcases,COD
B-26019,45,410,585,175,29.91%,Profit,13,Low Cost Product,Clothing,T-shirt,COD
B-26070,116.4,320,582,262,45.02%,Profit,5,Low Cost Product,Furniture,Furnishings,COD
B-25870,120.71,761,845,84,9.94%,Profit,7,Low Cost Product,Clothing,Saree,Credit Card
B-25855,207.25,810,829,19,2.29%,Profit,4,Low Cost Product,Electronics,Printers,Credit Card
B-25602,187,349,561,212,37.79%,Profit,3,Low Cost Product,Clothing,Saree,COD
B-25728,385.5,1195,771,-424,-54.99%,Loss,2,Mid Cost Product,Electronics,Phones,Credit Card
B-25803,127.5,757,765,8,1.05%,Profit,6,Low Cost Product,Clothing,Saree,EMI
B-25996,15.5,29,31,2,6.45%,Profit,2,Low Cost Product,Clothing,Hankerchief,COD
B-26078,278.5,668,557,-111,-19.93%,Loss,2,Low Cost Product,Electronics,Electronic Games,COD
B-25803,378.5,386,757,371,49.01%,Profit,2,Mid Cost Product,Electronics,Printers,Credit Card
B-25682,49.55,618,545,-73,-13.39%,Loss,11,Low Cost Product,Electronics,Phones,COD
B-25749,350.67,1134,1052,-82,-7.79%,Loss,3,Mid Cost Product,Furniture,Bookcases,UPI
B-25962,181.33,696,544,-152,-27.94%,Loss,3,Low Cost Product,Furniture,Bookcases,COD
B-25899,11,13,22,9,40.91%,Profit,2,Low Cost Product,Clothing,Leggings,Debit Card
B-25845,378.5,386,757,371,49.01%,Profit,2,Mid Cost Product,Electronics,Printers,Credit Card
B-25951,371,544,742,198,26.68%,Profit,2,Mid Cost Product,Furniture,Bookcases,Credit Card
B-25828,179,430,537,107,19.93%,Profit,3,Low Cost Product,Clothing,Saree,COD
B-25803,536,445,536,91,16.98%,Profit,1,Mid Cost Product,Clothing,Trousers,COD
B-25656,6,3,6,3,50.00%,Profit,1,Low Cost Product,Clothing,Hankerchief,COD
B-25681,74.71,319,523,204,39.01%,Profit,7,Low Cost Product,Clothing,Trousers,COD
B-25658,13.5,18,27,9,33.33%,Profit,2,Low Cost Product,Clothing,T-shirt,UPI
B-25698,64.5,124,516,392,75.97%,Profit,8,Low Cost Product,Furniture,Chairs,COD
B-25832,168,388,504,116,23.02%,Profit,3,Low Cost Product,Furniture,Bookcases,COD
B-25886,125.5,418,502,84,16.73%,Profit,4,Low Cost Product,Electronics,Phones,COD
B-25897,122.33,521,734,213,29.02%,Profit,6,Low Cost Product,Electronics,Electronic Games,Credit Card
B-25873,21,30,42,12,28.57%,Profit,2,Low Cost Product,Clothing,Kurti,COD
B-25858,7.25,18,29,11,37.93%,Profit,4,Low Cost Product,Clothing,Skirt,COD
B-25867,40,228,240,12,5.00%,Profit,6,Low Cost Product,Clothing,Kurti,UPI
B-25633,248,575,496,-79,-15.93%,Loss,2,Low Cost Product,Clothing,Trousers,COD
B-25609,121.25,456,485,29,5.98%,Profit,4,Low Cost Product,Electronics,Electronic Games,COD
B-25896,10.33,42,31,-11,-35.48%,Loss,3,Low Cost Product,Clothing,Skirt,UPI
B-26000,225.33,525,676,151,22.34%,Profit,3,Low Cost Product,Electronics,Printers,Credit Card
B-25959,11.5,15,23,8,34.78%,Profit,2,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25940,6.5,10,13,3,23.08%,Profit,2,Low Cost Product,Clothing,Hankerchief,COD
B-26087,22.5,180,180,0,0.00%,Breakeven Point,8,Low Cost Product,Clothing,Stole,COD
B-26055,74.56,557,671,114,16.99%,Profit,9,Low Cost Product,Electronics,Phones,Credit Card
B-25980,7.33,11,22,11,50.00%,Profit,3,Low Cost Product,Clothing,Kurti,COD
B-25653,222.67,699,668,-31,-4.64%,Loss,3,Low Cost Product,Electronics,Printers,Credit Card
B-26052,48.33,145,145,0,0.00%,Breakeven Point,3,Low Cost Product,Clothing,Saree,UPI
B-25877,12,16,24,8,33.33%,Profit,2,Low Cost Product,Clothing,Skirt,Debit Card
B-25608,158.67,476,476,0,0.00%,Breakeven Point,3,Low Cost Product,Furniture,Chairs,COD
B-25897,4.8,13,24,11,45.83%,Profit,5,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25881,12.33,34,37,3,8.11%,Profit,3,Low Cost Product,Clothing,Hankerchief,COD
B-25905,25.33,102,152,50,32.89%,Profit,6,Low Cost Product,Clothing,Stole,UPI
B-25818,16,21,32,11,34.38%,Profit,2,Low Cost Product,Clothing,Leggings,UPI
B-25835,10.4,41,52,11,21.15%,Profit,5,Low Cost Product,Clothing,Leggings,COD
B-26081,8,13,24,11,45.83%,Profit,3,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25730,118.25,431,473,42,8.88%,Profit,4,Low Cost Product,Furniture,Chairs,COD
B-25837,52.6,213,263,50,19.01%,Profit,5,Low Cost Product,Clothing,Stole,COD
B-25893,20.33,50,61,11,18.03%,Profit,3,Low Cost Product,Clothing,Kurti,COD
B-25689,156.33,928,469,-459,-97.87%,Loss,3,Low Cost Product,Electronics,Electronic Games,COD
B-26028,636,725,1272,547,43.00%,Profit,2,Mid Cost Product,Electronics,Phones,COD
B-26081,56.33,169,169,0,0.00%,Breakeven Point,3,Low Cost Product,Electronics,Accessories,COD
B-25903,8.33,14,25,11,44.00%,Profit,3,Low Cost Product,Clothing,Leggings,Debit Card
B-25651,114.25,498,457,-41,-8.97%,Loss,4,Low Cost Product,Clothing,Saree,COD
B-25903,56.88,378,455,77,16.92%,Profit,8,Low Cost Product,Electronics,Accessories,COD
B-26086,12.5,23,25,2,8.00%,Profit,2,Low Cost Product,Clothing,Hankerchief,Debit Card
B-25654,150,540,450,-90,-20.00%,Loss,3,Low Cost Product,Electronics,Printers,COD
B-25720,30,65,30,-35,-116.67%,Loss,1,Low Cost Product,Furniture,Chairs,COD
B-26057,329.5,696,659,-37,-5.61%,Loss,2,Low Cost Product,Furniture,Bookcases,Credit Card
B-25798,224,300,448,148,33.04%,Profit,2,Low Cost Product,Electronics,Printers,COD
B-25961,148.67,393,446,53,11.88%,Profit,3,Low Cost Product,Electronics,Printers,COD
B-25701,49,143,98,-45,-45.92%,Loss,2,Low Cost Product,Furniture,Chairs,UPI
B-26055,443,432,443,11,2.48%,Profit,1,Mid Cost Product,Clothing,Saree,COD
B-25653,61,477,427,-50,-11.71%,Loss,7,Low Cost Product,Electronics,Phones,COD
B-25670,328,692,656,-36,-5.49%,Loss,2,Low Cost Product,Furniture,Bookcases,Credit Card
B-26056,212,263,424,161,37.97%,Profit,2,Low Cost Product,Clothing,Saree,COD
B-26061,13.5,19,27,8,29.63%,Profit,2,Low Cost Product,Clothing,T-shirt,Debit Card
B-25602,84.8,696,424,-272,-64.15%,Loss,5,Low Cost Product,Electronics,Phones,COD
B-26016,50.5,198,202,4,1.98%,Profit,4,Low Cost Product,Clothing,Hankerchief,COD
B-25873,637.5,918,1275,357,28.00%,Profit,2,Mid Cost Product,Electronics,Phones,UPI
B-25761,59.71,348,418,70,16.75%,Profit,7,Low Cost Product,Electronics,Phones,COD
B-25819,139,368,417,49,11.75%,Profit,3,Low Cost Product,Electronics,Electronic Games,COD
B-25853,49.75,151,199,48,24.12%,Profit,4,Low Cost Product,Clothing,Stole,UPI
B-25662,35,462,385,-77,-20.00%,Loss,11,Low Cost Product,Furniture,Furnishings,UPI
B-25993,138,215,414,199,48.07%,Profit,3,Low Cost Product,Electronics,Phones,COD
B-25703,24.25,142,97,-45,-46.39%,Loss,4,Low Cost Product,Clothing,Saree,COD
B-25848,108,598,648,50,7.72%,Profit,6,Low Cost Product,Electronics,Electronic Games,Credit Card
B-25678,13.5,52,27,-25,-92.59%,Loss,2,Low Cost Product,Clothing,Shirt,Debit Card
B-25925,27,15,27,12,44.44%,Profit,1,Low Cost Product,Clothing,Stole,Debit Card
B-25977,27,26,27,1,3.70%,Profit,1,Low Cost Product,Clothing,Stole,UPI
B-25797,45.89,727,413,-314,-76.03%,Loss,9,Low Cost Product,Furniture,Chairs,COD
B-26067,13.25,51,53,2,3.77%,Profit,4,Low Cost Product,Clothing,Hankerchief,COD
B-25810,5.8,21,29,8,27.59%,Profit,5,Low Cost Product,Clothing,Hankerchief,UPI
B-25648,30,17,30,13,43.33%,Profit,1,Low Cost Product,Clothing,T-shirt,UPI
B-25933,68.67,0,412,412,100.00%,Profit,6,Low Cost Product,Clothing,Saree,COD
B-25942,323,669,646,-23,-3.56%,Loss,2,Low Cost Product,Electronics,Printers,Credit Card
B-25656,6,35,30,-5,-16.67%,Loss,5,Low Cost Product,Clothing,Stole,UPI
B-26067,154.5,591,618,27,4.37%,Profit,4,Low Cost Product,Furniture,Bookcases,Credit Card
B-25673,28.6,267,143,-124,-86.71%,Loss,5,Low Cost Product,Clothing,Saree,UPI
B-25797,15.5,30,31,1,3.23%,Profit,2,Low Cost Product,Clothing,Hankerchief,UPI
B-26098,136.33,323,409,86,21.03%,Profit,3,Low Cost Product,Clothing,Saree,COD
B-25656,203,280,406,126,31.03%,Profit,2,Low Cost Product,Clothing,Saree,COD
B-25791,80.71,499,565,66,11.68%,Profit,7,Low Cost Product,Clothing,Saree,Credit Card
B-26053,14.17,83,85,2,2.35%,Profit,6,Low Cost Product,Clothing,Stole,COD
B-25983,112.2,443,561,118,21.03%,Profit,5,Low Cost Product,Furniture,Bookcases,Credit Card
B-25743,251.5,559,503,-56,-11.13%,Loss,2,Low Cost Product,Clothing,Trousers,COD
B-25867,10.33,17,31,14,45.16%,Profit,3,Low Cost Product,Clothing,Stole,UPI
B-25973,49.75,287,398,111,27.89%,Profit,8,Low Cost Product,Clothing,Hankerchief,COD
B-25895,194,295,388,93,23.97%,Profit,2,Low Cost Product,Furniture,Bookcases,COD
B-26003,124.5,614,498,-116,-23.29%,Loss,4,Low Cost Product,Clothing,Saree,UPI
B-25717,187,349,561,212,37.79%,Profit,3,Low Cost Product,Clothing,Saree,Credit Card
B-26064,15.25,58,61,3,4.92%,Profit,4,Low Cost Product,Clothing,Hankerchief,COD
B-25630,8.5,56,34,-22,-64.71%,Loss,4,Low Cost Product,Clothing,T-shirt,COD
B-26050,10.67,26,32,6,18.75%,Profit,3,Low Cost Product,Clothing,Shirt,UPI
B-25786,207.67,815,623,-192,-30.82%,Loss,3,Low Cost Product,Furniture,Tables,UPI
B-26035,173.33,369,520,151,29.04%,Profit,3,Low Cost Product,Electronics,Phones,Credit Card
B-25693,5.33,48,32,-16,-50.00%,Loss,6,Low Cost Product,Clothing,Saree,UPI
B-25703,6.4,37,32,-5,-15.63%,Loss,5,Low Cost Product,Clothing,Hankerchief,UPI
B-25966,85,276,510,234,45.88%,Profit,6,Low Cost Product,Electronics,Electronic Games,EMI
B-26060,127.33,314,382,68,17.80%,Profit,3,Low Cost Product,Clothing,Saree,COD
B-25898,11,20,33,13,39.39%,Profit,3,Low Cost Product,Clothing,Leggings,UPI
B-25686,190.5,394,381,-13,-3.41%,Loss,2,Low Cost Product,Clothing,Saree,COD
B-26051,245,402,490,88,17.96%,Profit,2,Low Cost Product,Electronics,Accessories,EMI
B-25854,190.5,237,381,144,37.80%,Profit,2,Low Cost Product,Clothing,Saree,COD
B-26050,121.75,344,487,143,29.36%,Profit,4,Low Cost Product,Electronics,Phones,EMI
B-25961,122,282,366,84,22.95%,Profit,3,Low Cost Product,Furniture,Bookcases,COD
B-25701,11,62,33,-29,-87.88%,Loss,3,Low Cost Product,Clothing,Shirt,UPI
B-25970,121.67,258,365,107,29.32%,Profit,3,Low Cost Product,Electronics,Phones,COD
B-25933,103.5,307,207,-100,-48.31%,Loss,2,Low Cost Product,Clothing,Saree,UPI
B-26081,71.8,697,359,-338,-94.15%,Loss,5,Low Cost Product,Furniture,Bookcases,COD
B-25650,43.88,398,351,-47,-13.39%,Loss,8,Low Cost Product,Electronics,Phones,COD
B-25850,121.25,286,485,199,41.03%,Profit,4,Low Cost Product,Clothing,Saree,EMI
B-25643,9.25,60,37,-23,-62.16%,Loss,4,Low Cost Product,Clothing,Shirt,UPI
B-26100,17,24,34,10,29.41%,Profit,2,Low Cost Product,Clothing,T-shirt,Debit Card
B-25964,115.33,238,346,108,31.21%,Profit,3,Low Cost Product,Furniture,Chairs,COD
B-25676,85.5,445,342,-103,-30.12%,Loss,4,Low Cost Product,Electronics,Electronic Games,COD
B-25628,17.5,43,35,-8,-22.86%,Loss,2,Low Cost Product,Furniture,Furnishings,Debit Card
